_id,ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4808,184,13447492,Bellamy Rd N,Brimorton Dr,184,"{'type': 'Point', 'coordinates': (-79.23916500512, 43.7674520013201)}",,,,2021-06-03T04:00:00,,BRIMORTON DR,BELLAMY RD N,BRIMORTON DR,184,,1017,,43,Scarborough Guildwood(24),,,,Bellamy Rd N And Brimorton Dr,Scarborough,6208,BELLAMY RD N
4809,185,13449428,Weston Rd,Fenmar Dr,185,"{'type': 'Point', 'coordinates': (-79.543761993849, 43.7574660031374)}",,,,2021-07-29T04:00:00,,FENMAR DR,WESTON RD,FENMAR DR,185,,1149,,31,Humber River-Black Creek(7),,,,Weston Rd And Fenmar Dr,Etobicoke York,6209,WESTON RD
4810,186,13441776,Markham Rd,McNicoll Ave,186,"{'type': 'Point', 'coordinates': (-79.247816998906, 43.8239970063578)}",,,,2021-06-11T04:00:00,,MCNICOLL AVE,MARKHAM RD,MCNICOLL AVE,186,,1560,,42,Scarborough North(23),,,,Markham Rd And Mcnicoll Ave,Scarborough,6210,MARKHAM RD
4811,187,13450818,Lawrence Ave E,Warden Ave,187,"{'type': 'Point', 'coordinates': (-79.2947299975949, 43.7453760055059)}",,,,2021-06-23T04:00:00,,WARDEN AVE,LAWRENCE AVE E,WARDEN AVE,187,,409,,41,Scarborough Centre(21),,,,Lawrence Ave E And Warden Ave,Scarborough,6211,LAWRENCE AVE E
4812,188,13462349,Kipling Ave,Widdicombe Hill,188,"{'type': 'Point', 'coordinates': (-79.5517119968769, 43.6789370037179)}",,,,2021-08-16T04:00:00,WIDDICOMBE HILL BLVD,WIDDICOMBE HILL,KIPLING AVE,WIDDICOMBE HILL,188,,1359,,23,Etobicoke Centre(2),,,,Kipling Ave And Widdicombe Hill / Widdicombe Hill Blvd,Etobicoke York,6212,KIPLING AVE
4813,189,13446075,Sheppard Ave E,Warden Ave,189,"{'type': 'Point', 'coordinates': (-79.30790499033, 43.7787310059445)}",,,,2021-12-29T05:00:00,,WARDEN AVE,SHEPPARD AVE E,WARDEN AVE,189,,750,,42,Scarborough-Agincourt(22),,,,Sheppard Ave E And Warden Ave,Scarborough,6213,SHEPPARD AVE E
4814,190,13449501,Lawrence Ave E,Brimley Rd,190,"{'type': 'Point', 'coordinates': (-79.2553669940847, 43.7535260020301)}",,43,,2021-08-27T04:00:00,,BRIMLEY RD,LAWRENCE AVE E,BRIMLEY RD,190,,414,,41,Scarborough Centre(21),,,,Lawrence Ave E And Brimley Rd,Scarborough,6214,LAWRENCE AVE E
4815,191,13450458,William R Allen Rd,Sheppard Ave W,191,"{'type': 'Point', 'coordinates': (-79.4633900003128, 43.7502510064068)}",,,,2021-06-29T04:00:00,,SHEPPARD AVE W,WILLIAM R ALLEN RD,SHEPPARD AVE W,191,,1407,,32,York Centre(6),,,,William R Allen Rd And Sheppard Ave W,North York,6215,WILLIAM R ALLEN RD
4816,192,13441919,Midland Ave,Copthorne Ave,192,"{'type': 'Point', 'coordinates': (-79.2949340100423, 43.8207070058596)}",,,,2021-08-16T04:00:00,PASSMORE AVE,COPTHORNE AVE,MIDLAND AVE,COPTHORNE AVE,192,,1565,,42,Scarborough-Agincourt(22),,Scarborough North(23),,Midland Ave And Copthorne Ave / Passmore Ave,Scarborough,6216,MIDLAND AVE
4817,193,13442528,Steeles Ave E,Don Mills Rd,193,"{'type': 'Point', 'coordinates': (-79.3607760036512, 43.8111839970382)}",,,,2021-09-13T04:00:00,,DON MILLS RD,STEELES AVE E,DON MILLS RD,193,,1038,,33,Don Valley North(17),,,,Steeles Ave E And Don Mills Rd,North York,6219,STEELES AVE E
